sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23
C3/C3a-C3b,65042,0.35459674150564435,0.12015999273325033,0.022706684179359605,-0.0359124897896304,0.0025097533280513417,0.0,0.0,-0.0008190445245607807,-0.03852600185833491,0.09016734697814492,-0.060251592085239086,0.1788855641397846,-0.005568759465539216,0.06705280417701637,1.5348967746190173e-05,0.004771084147735612,-0.001684321707033107,0.0004589323750015265,-0.0,0.0,0.0,0.0,0.0
C1/C3/C1c-C1al,65049,-0.0421675106282894,-0.4639413335626029,-0.19638867710209582,-0.005139942623716333,-0.11675267803589916,2.321177304682225e-17,2.3737431655463423e-16,-0.009594817913056868,0.007004022187553371,0.05820277468364158,0.005342334339286718,-0.006821376897847083,-0.16495549344291194,-0.03815350334991996,-0.05035359973690766,0.05774996077766484,-0.005627413616630969,-0.02637171684769938,-0.0,0.0,0.0,0.0,0.0
C1/C3-C1c-C1b-C72k-C1w,65050,-0.1827696468907197,-0.5386780145265231,-0.21482186039189005,-0.0647307244678453,-0.12914044269616445,-6.229730567820486e-19,4.0387074821529783e-17,-0.030272379345404977,-0.028710848923295132,0.030174363554929928,-0.020320018021657366,-0.00016694964893726455,-0.07458633333977846,0.05285671124708139,0.046463367648296866,-0.059776554748157296,0.006239184815964358,0.030285061322853336,-0.0,0.0,0.0,0.0,0.0
C3-C40g-C3b-C3an-C21-C3fc-C3fd-C3s,64727,0.20074761986729633,-0.004976617948440279,0.09131118593397985,0.3819710039890697,0.05764925660232403,-1.3989033141296992e-16,-5.671940553509083e-16,-0.10668124242874442,-0.04401563151185491,-0.16301442627649892,-0.11827545715004201,-0.006046533052910246,-0.02025111438600889,-0.01169552337689116,0.005914461437395036,0.009038404258168178,-0.07700151560070484,0.012053142605399886,-0.0,0.0,0.0,0.0,0.0
C45a,64799,-0.3281043811959783,0.017675068915785533,0.3427718042799447,-0.07691343290231457,-0.19813088381012142,0.017265800861194287,0.5770920424455316,-0.048207500259277655,-0.05206814404042791,-0.01669785427432125,0.0014442678321711373,0.0034307253388931327,0.020225120320728377,-0.0007556279171867221,-0.004098336781317731,0.003803664448460192,7.992767915910953e-05,-0.005033807293149603,-0.0,0.0,0.0,0.0,0.0
C3-C3a-C16a,65057,0.35326113962047745,0.1316877756529373,-0.004776069552600781,-0.19986899581475776,-0.023059578239789005,-2.2136305155286173e-17,1.858531769227136e-16,0.05037909809921714,-0.03136864525372045,0.027321308700927034,-0.03527712501638738,0.00819929675564589,-0.021035074048631447,-0.03925389088493232,0.08539223659515671,0.022240948122987783,-0.0007814127435685698,0.005494705944969399,-0.0,0.0,0.0,0.0,0.0
C3/C3b,64453,0.35794747956414025,0.12221026624754175,0.02251349683859139,-0.04445065021481767,0.0011511952910322955,9.612608016422933e-18,8.579477481798416e-18,0.0038104745013743404,-0.04098933995389114,0.09133022446614468,-0.08369222859965027,-0.08286329399294147,0.005396353943322633,0.12879253642789604,-0.010104754975807664,0.02293484696419005,0.0011079905166367491,-0.018526471358735058,-0.0,0.0,0.0,0.0,0.0
C3,64597,0.334377306970042,0.12173932003490855,-0.005790512980386546,-0.18264147388703497,-0.02138284587831725,1.565791266355808e-17,7.01552540545616e-17,0.04562580919736653,-0.023520368125599177,0.004842944821218462,-0.02054467891071057,-0.16795365391311484,-0.001082028298840251,-0.022159796912087908,-0.0966388694799675,-0.06285792668995004,-0.008356143417829465,0.01790559827891949,-0.0,0.0,0.0,0.0,0.0
C7/C12c-C7d-C12b-C12e,64726,-0.5127858845147232,0.33662412340702313,-0.29301462133974066,0.06849742268605662,0.022519340887722193,1.3418085064391105e-16,-4.3499901856123973e-16,0.12858283212946858,-0.19751636045679435,-0.014987875107027924,-0.0033928607339706526,0.0025314631602400954,0.010405368319278534,0.005567668175200755,-0.02532024459205676,0.06066601394189522,0.017317536538072626,0.043254325387357684,-0.0,0.0,0.0,0.0,0.0
C3-C3an-C3b-C21-C3fc-C3bb-C3s-C3fd,64728,0.22973092021688565,0.01527843034242627,0.08426263763945363,0.3472987195314234,0.054726434202818225,-1.1525759789805728e-16,-5.836244530637307e-16,-0.10552090146999116,-0.045198225181237346,-0.16696816532549633,-0.09044552934243671,-0.005768998532931576,-0.037147461385154144,-0.017077112474404656,-0.00013307956918352085,-0.018456602355752798,0.08181932852131467,-0.008508703763031698,-0.0,0.0,0.0,0.0,0.0
C3/C3a,64730,0.3197472093500657,0.11336025275573228,-0.004933262383055291,-0.1528295659709509,-0.016913199673894062,2.829418842089767e-17,2.1196186735197304e-16,0.03209889624706949,-0.016754392614065614,0.003236662855121636,0.019098148328906106,0.26434559920325007,-0.013343830148686108,-0.059380406586138856,-0.02775954556338563,-0.027172786751804956,-0.0017554885408926318,0.0058662079171061384,-0.0,0.0,0.0,0.0,0.0
C47/C44,64731,-0.3281043811959783,0.017675068915785307,0.3427718042799453,-0.07691343290231552,-0.19813088381012267,-0.5084092695102749,-0.2735933990602878,-0.04820750025927666,-0.052068144040426714,-0.016697854274321237,0.001444267832171121,0.003430725338893257,0.020225120320728304,-0.0007556279171866962,-0.004098336781317777,0.003803664448460261,7.992767915910349e-05,-0.005033807293149613,-0.0,0.0,0.0,0.0,0.0
C3fe-C3-C3fg-C3b-C3ag-C21,64732,0.07241342981485412,-0.03983876121212186,0.12333707961983789,0.40186787300673266,0.04103044859151572,-3.726384151305634e-17,-4.51648992749187e-16,-0.016617894158259674,0.0078018905792224865,0.37620809442872283,0.08090994642871667,-0.026895388847210364,0.04387016927123123,-0.03795104082948478,0.003535762574692892,-0.007758686053797096,0.0032553553439016512,0.00861391049397721,-0.0,0.0,0.0,0.0,0.0
C46,64477,-0.3281043811959783,0.017675068915785307,0.3427718042799453,-0.07691343290231549,-0.19813088381012242,0.49114346864908087,-0.30349864338524285,-0.04820750025927713,-0.05206814404042673,-0.016697854274321258,0.0014442678321711269,0.003430725338893257,0.020225120320728245,-0.0007556279171867016,-0.004098336781317759,0.0038036644484602247,7.992767915909704e-05,-0.005033807293149612,-0.0,0.0,0.0,0.0,0.0
C3/C7,64733,0.10490177809174069,0.2837195594491522,-0.25067973603253413,-0.07881125226120793,0.014895118382174232,-3.814207987338949e-17,2.8060985127046383e-17,-0.13633220049845407,0.14349074307287615,-0.021345160493919033,0.02223814451545892,0.011981795680701374,0.033364078284899755,0.001163544046393737,-0.026220697849418974,0.019771273998937206,0.004918133918247875,-0.011027484577153863,-0.0,0.0,0.0,0.0,0.0
C54a-C54b-C3-C54d-C54c,64729,-0.06791643015127379,-0.06106701575135539,0.09892231358467396,0.12038795430037018,-0.05040857061705452,3.067623094232818e-16,1.1471580423641568e-15,0.46084863842018353,0.40623607513270726,-0.06614274933261684,-0.024039369239546686,0.007591976609115381,0.010343786999756363,0.01212278694186981,0.00022942821715270828,0.0033630042634643737,0.002394121075319912,0.0026204020027714935,-0.0,0.0,0.0,0.0,0.0
C7,64608,-0.4349223990252276,0.2955634244075387,-0.20102693575228192,-0.03223524216936928,0.014997397758373209,-2.185742618743701e-16,5.172390384499202e-17,-0.32548428811574237,0.3559620387527936,0.03138107124270191,-0.02277354967324428,-0.011119464553887211,-0.01373262153350712,-0.0020354657118209366,0.01761214988674827,-0.016230760188300632,-0.004646948285736219,0.00022052052547260923,-0.0,0.0,0.0,0.0,0.0
C3-C16a,64483,0.33867712987742093,0.1241587886137176,-0.005920704250174662,-0.1899910186401727,-0.02239853853754382,4.3480452881089876e-17,1.0462289216649098e-16,0.04851575523778103,-0.02540442054609522,0.007641950531065589,-0.02569825498722203,-0.16665523840637209,-0.008016680579032112,-0.06196484450626028,0.058344307721739125,0.01847980557171985,0.004635927685854461,8.157714936080013e-05,-0.0,0.0,0.0,0.0,0.0
C1/C42.2/C3-C1b,64739,-0.028588329205726813,-0.43420786313989296,-0.1008983518114832,-0.07796746155795078,0.20919601146406216,-2.799279990146981e-17,-3.4123358592385056e-16,-0.017311432365711463,-0.013245120212748459,-0.02433966141161249,0.0061288424425086805,0.004783624615581287,0.14816006230299975,-0.016782423485374984,-0.008334421992410777,0.01342143109008663,0.0012454689398281042,-0.024423223602159896,-0.0,0.0,0.0,0.0,0.0
C21/C3,64751,0.2581563672476502,0.05923461291758607,0.030100616146566644,0.0764337473334317,0.014227277089341843,-1.8232634266317677e-17,-1.7416381862908267e-16,-0.030045274867215067,-0.008853973497713264,-0.13741870756501126,0.3681263806816066,-0.021830348981334822,-0.03315863448198822,0.038923364265950666,0.012809257872165976,0.002138962248210057,-0.005204448307215492,0.001297400413263029,-0.0,0.0,0.0,0.0,0.0
C1/C3/C1b,64627,0.07998866939585218,-0.4043107652981035,-0.198158535839629,-0.02153848164616242,-0.06541200587990526,2.4994310551817735e-17,-5.041948069986585e-17,-0.05417795380309813,-0.023458610748182777,-0.0764063581186211,-0.0019631169337762217,0.00718735869057093,0.14464658294779742,0.00024025943363303065,0.0018660711412692124,0.007440758834503049,3.367313957019355e-05,0.01386760022038981,-0.0,0.0,0.0,0.0,0.0
C42.2,64758,-0.33254870135242387,-0.10437589719522791,0.28335005857916384,-0.18363151916374212,0.5928825307905845,-2.0971339115744395e-16,-4.588526941092176e-16,0.012987743773601353,-0.015686108882896198,0.005858498175684316,-0.0029911972157368807,0.00010501376058086872,-0.06312838806741726,0.007677735621832937,-3.15771380087076e-06,-0.0026990065027546364,-0.0005135457864232575,0.00646288071989607,-0.0,0.0,0.0,0.0,0.0
C7/C7d/C12c-C12b-C12e-C7h-C3-C7g,65149,-0.4185337461657504,0.27463451532509814,-0.30841021792558787,0.10403239606721985,0.014075746600936086,-3.193478534496174e-17,-4.273096935560236e-16,0.1946306826620097,-0.2110422898374436,-0.005648573984536756,0.003488377676619178,0.0002173781953344311,-0.0008553438539759996,-0.005676518467998091,0.024980989754531408,-0.05847516427443908,-0.01763526552615459,-0.044523243328505865,-0.0,0.0,0.0,0.0,0.0
proportion_explained,0,0.24632412589699104,0.16387672083972765,0.11054781417549234,0.08280462779172347,0.06943714926136019,0.06185286085273335,0.061852860852733324,0.053740250440051006,0.051412531400415844,0.03090782795132639,0.022226464073365853,0.020603445463077887,0.010878409977646575,0.0047840080950236,0.0034884806811029115,0.0026623162549838106,0.001669438095968397,0.0009306678962761295,0.0,0.0,0.0,0.0,0.0
