sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
CH_Mcav_06_2017,106113,0.275939336870577,0.03456155584292274,0.1815724003418355,-0.0627530662649048,-0.021394572054974276,0.0004623953198899523,0.0,0.0,0.0
WP_Oann_24_2017,106120,-0.6838199873410505,0.23783800138994643,-0.0005397761452119119,0.0003813710096942857,0.00015323914173202507,-1.6205695669151037e-05,0.0,0.0,0.0
CH_Pfur_15_2017,106122,0.2903032324117847,0.039616165573022256,-0.03375296891219196,0.08443087338290767,-0.06006223993714426,-0.0008780750114919551,0.0,-0.0,0.0
ET_Pfur_30_2017,106138,0.29157309685529126,0.040015897993129726,0.0357967435697133,0.07337895079587982,0.05488792993420326,0.0018738486342120165,0.0,0.0,0.0
ET_Pfur_43_2017,106150,0.2855906154468423,0.038034345419015646,-0.1305038014160289,-0.05758112832064162,-0.0027562789835589075,0.00867674131312471,0.0,0.0,0.0
WP_Ofav_64_2017,106169,-0.6838199873410507,0.2378380013899464,-0.000539776145211793,0.0003813710096935001,0.00015323914173251204,-1.620569566052084e-05,0.0,-0.0,0.0
WP_Oann_67_2017,106172,-0.363338194880308,-0.709416381780841,-0.001155629003341533,0.0007800707272354279,0.00030881389443366256,-3.2417570560164644e-05,0.0,-0.0,0.0
ET_Pfur_74_2017,106181,0.29128095524617126,0.03994104568499772,-0.08887644483658441,-0.04403300897102089,0.012276270702984773,-0.010516393696368425,0.0,-0.0,0.0
ET_Pfur_30_2019,106238,0.2962909327317429,0.04157136848786165,0.03799925254702106,0.005014566631157161,0.016433598160593702,0.00044631240252732205,0.0,0.0,0.0
proportion_explained,0,0.6861378998019255,0.27392780740687744,0.02704738704473344,0.0095163583887977,0.0032870924925451424,8.345486512090488e-05,0.0,0.0,0.0
